# node,hit rate
65,0.5
36,1
64,0.5
122,0.5
61,1
32,1
90,0.5
37,1
124,0.5
62,1
91,0.5
34,1
89,0.5
74,0.5
73,0.5
72,0.5
71,0.5
70,0.5
18,1
69,0.5
68,0.5
27,1
28,1
67,0.5
30,1
88,0.5
